Predicted_Labels  True_Labels
0  0
0  0
0  0
7  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
5  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
5  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
7  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
8  0
0  0
0  0
5  0
0  0
0  0
0  0
0  0
0  0
0  0
5  0
7  0
5  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
2  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
7  0
0  0
0  0
1  1
3  1
1  1
1  1
1  1
1  1
1  1
3  1
1  1
1  1
1  1
1  1
1  1
12  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
12  1
3  1
1  1
1  1
1  1
1  1
1  1
12  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
3  1
3  1
1  1
3  1
8  1
1  1
1  1
1  1
8  1
1  1
1  1
1  1
12  1
3  1
3  1
1  1
1  1
8  1
1  1
8  1
3  1
12  1
1  1
12  1
3  1
1  1
3  1
8  1
3  1
1  1
8  1
3  1
8  1
8  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
3  1
1  1
1  1
8  1
13  2
13  2
13  2
13  2
13  2
13  2
2  2
2  2
13  2
13  2
13  2
13  2
13  2
13  2
13  2
13  2
0  2
15  2
15  2
0  2
8  2
0  2
0  2
0  2
2  2
13  2
17  2
13  2
13  2
2  2
13  2
2  2
17  2
2  2
2  2
2  2
13  2
9  2
13  2
9  2
9  2
13  2
2  2
2  2
2  2
2  2
2  2
5  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
10  2
2  2
2  2
0  2
2  2
2  2
10  2
2  2
2  2
2  2
13  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
7  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
0  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
