Predicted_Labels  True_Labels
6  0
7  0
7  0
7  0
7  0
2  0
2  0
7  0
6  0
6  0
6  0
6  0
2  0
7  0
2  0
7  0
2  0
2  0
7  0
7  0
7  0
9  0
6  0
6  0
6  0
6  0
6  0
7  0
7  0
9  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
6  0
7  0
6  0
6  0
6  0
6  0
7  0
7  0
6  0
7  0
2  0
7  0
7  0
6  0
7  0
7  0
7  0
6  0
6  0
6  0
6  0
6  0
9  0
6  0
6  0
6  0
6  0
6  0
6  0
9  0
6  0
6  0
7  0
6  0
6  0
7  0
6  0
6  0
6  0
7  0
6  0
6  0
12  1
3  1
3  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
1  1
1  1
1  1
1  1
3  1
1  1
8  1
1  1
1  1
1  1
1  1
6  1
1  1
1  1
1  1
1  1
1  1
12  1
1  1
3  1
3  1
12  1
3  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
3  1
12  1
1  1
3  1
1  1
1  1
3  1
8  1
1  1
1  1
3  1
1  1
1  1
3  1
12  1
1  1
1  1
3  1
3  1
1  1
3  1
3  1
1  1
3  1
3  1
3  1
1  1
1  1
1  1
1  1
1  1
3  1
1  1
3  1
3  1
1  1
3  1
3  1
1  1
1  1
3  1
12  1
1  1
1  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
12  1
12  1
6  1
11  2
11  2
11  2
11  2
11  2
11  2
13  2
2  2
11  2
11  2
16  2
11  2
11  2
2  2
11  2
11  2
6  2
6  2
6  2
6  2
6  2
6  2
6  2
6  2
11  2
11  2
13  2
11  2
11  2
2  2
13  2
2  2
2  2
2  2
7  2
9  2
11  2
2  2
13  2
2  2
2  2
11  2
11  2
11  2
11  2
11  2
11  2
2  2
11  2
11  2
11  2
11  2
11  2
12  2
11  2
16  2
6  2
11  2
9  2
8  2
6  2
16  2
11  2
11  2
13  2
13  2
6  2
2  2
11  2
9  2
7  2
13  2
6  2
9  2
11  2
11  2
2  2
2  2
11  2
6  2
7  2
2  2
13  2
13  2
7  2
13  2
2  2
8  2
2  2
2  2
6  2
6  2
11  2
11  2
11  2
6  2
2  2
8  2
6  2
6  2
6  2
8  2
2  2
11  2
13  2
6  2
6  2
13  2
13  2
6  2
2  2
2  2
6  2
11  2
11  2
2  2
11  2
2  2
11  2
11  2
6  2
11  2
11  2
11  2
11  2
11  2
11  2
16  2
11  2
11  2
11  2
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
1  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
1  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
3  3
1  3
3  3
1  3
3  3
3  3
3  3
3  3
6  4
6  4
6  4
6  4
6  4
6  4
9  4
7  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
8  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
2  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
8  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
7  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
9  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
6  4
2  5
7  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
9  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
7  5
6  5
9  5
7  5
6  5
6  5
6  5
7  5
6  5
6  5
9  5
7  5
7  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
6  5
2  5
6  5
6  5
6  5
6  5
7  5
13  5
2  5
6  5
6  5
6  5
6  5
6  5
2  5
9  5
7  5
2  5
9  5
2  5
7  5
6  5
6  5
6  5
6  5
6  5
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
9  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
6  6
9  6
6  6
6  6
6  6
6  6
6  6
7  6
2  6
6  6
6  6
6  6
6  6
7  6
9  6
7  6
7  6
6  6
6  6
6  6
6  6
6  6
6  6
